fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3050-002.tif;701-151-005-3050-003.tif;701-151-005-3050-005.tif;701-151-005-3050-009.tif,701-151-005-3050-002,Cemetery of Polish pilots [3],,,Author,World War (1939-1945);Soldiers;Cemeteries;Sepulchral monuments,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"Photos 002 and 003 show a mass occurring at the cemetery for Polish airmen. In photo 005, the Polish airmen cemetery is covered with snow. Photo 009 shows some of the graves of fallen soldiers.","Censorship No. 230281;No. 325;Numbers on the back: 50, 157, 3413, 5-5, 120, 4 1/2;January 1945 (Date on one of the photos)",still image,photographs,black-and-white photographs,9x12 cm; 12x17 cm; 11x17 cm; 9x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3050-006.tif;701-151-005-3050-007.tif;701-151-005-3050-010.tif;701-151-005-3050-011.tif;701-151-005-3050-012.tif;701-151-005-3050-013.tif,701-151-005-3050-006,Cemetery of Polish Pilots [2],,,Author,Cemeteries;World War (1939-1945);Sepulchral monuments,"Olszyna, Marian;Eloryanowicz, Stefan;Sikorski, Władysław",Poland. Polskie Siły Zbrojne,England--Newark,1939/1945,,,,,"Photos of the tombstones of Marian Olszyna, Stefan Eloryanowicz, and the commander-in-chief Wladyslaw Sikorski.","Numbers on the back: 65, 67, 44",still image,photographs,black-and-white photographs,9x12 cm; 9x12 cm; 9x12 cm; 9x12 cm; 9x12 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3050-001.tif;701-151-005-3050-004.tif;701-151-005-3050-008.tif,701-151-005-3050-001,Cemetery of Polish pilots [1],,,Author,Cemeteries;World War (1939-1945);Soldiers;Sepulchral monuments;Military uniforms,,Poland. Polskie Siły Zbrojne,England--Newark,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"A soldier places flowers at the grave of a fallen Polish airman in photo 001. In photo 004, soldiers light candles at the graves of Polish aviators. A soldier kneels in front of a tombstone in photo 008.","No. 321, No. 322;Censorship No. 230285, Censorship No. 230283",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3053-001.tif;701-151-005-3053-002.tif;701-151-005-3053-003.tif;701-151-005-3053-004.tif,701-151-005-3053-001,Polish Balloon Unit,,,Author,World War (1939-1945);Soldiers;Hot air balloons;Military uniforms,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,Members of the Polish balloon unit help inflate the a barrage balloon in photos 001 and 003. A soldier checks the equipment on the hot-air balloon in photo 002. Photo 004 shows one of the members of the balloon unit.,"M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California;Numbers on the back: PM/50100, PM/50083, PM/50089, PM/50090, k.6., f.6.;24 NOV 1944 (Censorship Date)",still image,photographs,black-and-white photographs,16x21 cm; 21x16 cm; 21x16 cm; 10x15 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2967-001.tif;701-151-005-2967-002.tif;701-151-005-2967-003.tif;701-151-005-2967-004.tif;701-151-005-2967-005.tif,701-151-005-2967-001,Painting Emblems Denoting Destroyed Aircraft (303 Squadron),,,Author,World War (1939-1945);Airplanes;Military uniforms;Airplanes--Markings;Spitfire (Figher plane),"Daszewski, Jan Kazimierz Michał","Poland. Polskie Siły Zbrojne;Great Britain. Royal Air Force. Squadron (Polish), 303rd",Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,Denoting destroyed air crafts. Photos 001 to 003 show a group of Polish airmen painting the door of an airplane to denote that it was destroyed by them. A young airman paints on the body of plane in photos 004 and 005.,"No. 870, No. 871;Numbers on the back: 303, 2, PM/50092, Pm/50099;Censorship No. 248052, Censorship No. 248053",still image,photographs,black-and-white photographs,9x12 cm; 12x17 cm; 12x17 cm; 21x15 cm; 15x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3098-001.tif,701-151-005-3098-001,Ander's Army Exercises in Iran,,,Author,"World War (1939-1945);Rifles;Physical education and training, Military;Soldiers;Military uniforms",,Poland. Polskie Siły Zbrojne,Iran,1939/1945,,1942,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor,",,Anders Army Exercises. Soldier in prone position holds his weapon. He is prepared to attack.,"Numbers on the back: 584, 10, R2502, 4, 1/2, 2522, 14-4;Boguslawski pplk. dypl. - Lt. Col.;16 JUL 1942 (Censorship Date)",still image,photographs,black-and-white photographs,8x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2899-001.tif;701-151-005-2899-002.tif;701-151-005-2899-003.tif,701-151-005-2899-001,Navy Cadet School,,,Author,"World War (1939-1945);Military cadets;Physical education and training, Military;Military uniforms",,Poland. Marynarka Wojenna,,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,"Naval cadet training. Photo 001 shows the cadets during rope climbing exercises. In photo 002, the cadets partake in bosman exercises. Two soldiers are learning different knots in photo 003.","Photograph from Office of Director of Public Information Ottawa;Numbers on the back: 92/6, 70%",still image,photographs,black-and-white photographs,21x17 cm;22x17 cm; 10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2900-001.tif;701-151-005-2900-002.tif,701-151-005-2900-001,Ship's Kitchen,,,Author,Ships;Kitchens;Cooking;World War (1939-1945);Sailors,,Poland. Marynarka Wojenna,,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"In photo 001, two chefs are preparing chicken for cooking. Photo 002 shows food being distributed among the members of the Polish Navy.",Numbers on the back: 19399-1;No. 246,still image,photographs,black-and-white photographs,26x21 cm; 12x16 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3096-001.tif;701-151-005-3096-002.tif,701-151-005-3096-001,Anders' Army's First Meal in Iran,,,Author,Soldiers;Food;World War (1939-1945),,Poland. Polskie Siły Zbrojne,Iran,1939/1945,,1942,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Republic of Poland, Ministry of Information, Photo Service, Polish Government Information Center",,Photo 001 shows the Polish soldiers sitting at a table enjoying their first meal in Iran. Photo 002 shows one of the younger soldiers eating bread with his meal.,"Numbers on the back: B5., 556, r417,;Numbers on the back: B5., 556, R417, 176, E-6-3, 570, II, 116, 16353-4, 11., R421, 55, 3 3/8, 2436, 18-9;No. 696, No. 176;Censorship No. 12810-, Censorship No. 12809-;2 JUL 1942 (Censorship Date);Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,12x9 cm; 9x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2707-001.tif,701-151-005-2707-001,Polish Soldiers in Morris Light Reconnaissance Car,,,Author,"World War (1939-1945);Forests and forestry;Soldiers;Military uniforms;Armored vehicles, Military",,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,The photo shows two soldiers sitting in the Morris Light Reconnaissance Car. The car and the soldiers are in a forest.,Words on the back: Velox,still image,photographs,black-and-white photographs,6x9 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2708-001.tif,701-151-005-2708-001,Stretching Exercises and Recreation in Polish Units,,,Author,"Physical education and training, Military;Reading;World War (1939-1945);Soldiers;Soldiers--Recreation",,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,The photo shows the Polish soldiers outdoors. Some of the men are sitting under a tree reading. The leftover men are doing stretching exercises.,,still image,photographs,black-and-white photographs,10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2715-001.tif,701-151-005-2715-001,Soldier With a Rabbit,,,Author,Military uniforms;World War (1939-1945);Soldiers;Forests and forestry;Rabbits,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Polish War Relief, Polish American Council of the United States of America",,The photo shows a soldier dressed up in military gear. The soldier is crouching in the middle of the forest while petting a rabbit.,Numbers on the back: 20,still image,photographs,black-and-white photographs,15x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2719-001.tif,701-151-005-2719-001,Members of the Polish Armored Troops Unit in Great Britain,,,Author,Forests and forestry;Smoking Cigarettes;Soldiers;Military uniforms;Crosses;Automobiles;Armored troops,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,"The photo shows soldiers outdoors. A group of men are standing next to a car taking. Another group is standing by a cross. In the foreground there are two Polish armored troops members wearing berets. One man is stretching, and the soldier standing next to him is smoking a cigarette.","Numbers on the back: 191, 7",still image,photographs,black-and-white photographs,10x7 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2491-001.tif;701-151-005-2491-002.tif;701-151-005-2491-003.tif,701-151-005-2491-001,Oath of Allegiance of the Polish Army in France,,,Author,Soldiers;World War (1939-1945);Oaths;Military uniforms;Helmets,,Poland. Polskie Siły Zbrojne,France,1939/1945,,,,,Polish soldiers take an oath of allegiance in France. The men stand straight with two of the fingers on their right hand up as they take the oath.,"Words on the back: Kodak;Numbers on the back: 16597-1, D 10, 192",still image,photographs,black-and-white photographs,21x26 cm; 10x16 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2478-001.tif,701-151-005-2478-001,"""Przemienienia Pańskiego"" Hospital in Warsaw",,,Author,Hospitals;Women;World War (1939-1945);Physicians;Nurses;Children;Civilians in war;Physician and patient,,,Poland--Warsaw,1939/1945,,1939-09,"Republic of Poland, Ministry of Information, Photo Service",,"September 1939. Transfiguration Hospital in Warsaw. Women and children sheltered in the cellar during an air raid, guarded by doctors and nurses.","crop;Polish F y F, Nr. 3;Numbers on the back: 76, Nr. 4, 4 1/2"", 5854, 6-1, 120 m, wo 7",still image,photographs,black-and-white photographs,22x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2482-001.tif,701-151-005-2482-001,Digging Trenches,,,Author,Trenches;Children;World War (1939-1945);Shovels;Pitchers;Children and war,,,Poland,1939/1945,,,,,"Children are helping dig trenches for the soldiers. One of the children is seen distributing water, while the rest of the children are digging with shovels.",Numbers on the back: 17311,still image,photographs,black-and-white photographs,26x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2467-001.tif;701-151-005-2467-002.tif,701-151-005-2467-001,Polish infantry in position,,,Author,Infantry;World War (1939-1945);Weapons;Bayonets;Soldiers;Rifles;Military uniforms,,Poland. Polskie Siły Zbrojne,Poland,1939/1945,,1939,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,The photos show Polish soldiers of the 1939 campaign. Photo 001 shows a soldier aiming his gun in what seems to be a trench. Two soldiers holding bayonets are preparing to attack in Photo 002.,"Numbers on the back: 3 3/4, 79, 7, 4036/17-17, 21377-8",still image,photographs,black-and-white photographs,10x13 cm; 21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4942-001.tif,701-151-005-4942-001,Polish Boys after Arriving from Soviet Russia,,,Author,Deportation;World War (1939-1945);Refugee children;Children and war,,,Iran,1939/1945,,1941,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,"Polish children deported to Russia in 1941. Here, they are posing for a group photo.",Numbers on the back: 7.,still image,photographs,black-and-white photographs,15x20 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2473-001.tif,701-151-005-2473-001,Polish Prisoners of War,,,Author,Prisoners of war;World War (1939-1945);Soldiers;Military uniforms,,,Poland--Gorlice,1939/1945,,,U.S. Army Photograph,,The photo shows Polish prisoners of war. The large crowd of people is walking down a rural road as they enter Gorlice.,"Numbers on the back: 58, 550340, -12, F.34, R-76, 60%;Page No. 31;Ill. No. 58;The department of the army has no objection to the publication of this photograph. Its use in commercial advertisement must be approved by the public information division office of the chief of information, department of the army, the Pentagon, Wasshington D.c. 20310. If published, please credit, ""U.S. Army Photograph."";This paper manufactured by Kodak;(Photo believed to be from German files);Unclassified by OCSigO, 8 Oct. 1959 Copy Neg.",still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2463-001.tif;701-151-005-2463-002.tif,701-151-005-2463-001,SMS Schleswig-Holstein shooting at Westerplatte,,,Author,"Battleships;World War (1939-1945);Westerplatte, Battle of (Poland : 1939);Smoke",,Schleswig-Holstein (Battleship);Germany. Kriegsmarine,Poland--Gdańsk--Westerplatte,1939/1945,,1939-09,"Polish Army Film Unit, Foto Service, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor,",,SMS Schlewsig-Holstein shelling Westerplatte in September 1939. Smoke is visible in the background after the shelling.,"Boguslawski pplk. dypl. - Lt. Col.;Numbers on the back: 658, A3, R537, 15685, 35%, 22/22, 21291-1, A-13-13;10 AUG 1942 (Censorship Date)",still image,photographs,black-and-white photographs,21x26 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2470-001.tif,701-151-005-2470-001,Warsaw in Flames,,,Author,Fires;Smoke;Cities and towns--Fires and fire prevention;World War (1939-1945);Clouds;Siege of Warsaw (Poland : 1939),,,Poland--Warsaw,1939/1945,,1939-09-25,"Republic of Poland, Ministry of Information, Photo Service, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor",,Fire over Warsaw on the 25th of September in 1939.,"30 MAR 1943 (Censorship Date);M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California;Boguslawski pplk. dypl. - Lt. Col.;Numbers on the back: 1094;k.3, f.23.",still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2527-001.tif;701-151-005-2527-002.tif;701-151-005-2527-003.tif;701-151-005-2527-004.tif;701-151-005-2527-005.tif,701-151-005-2527-001,Communication Exercises in Scotland,,,Author,"World War (1939-1945);Communications, Military;Soldiers;Volunteers;Radio, Military;Military uniforms",,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"The photos show soldiers practicing military communications in Scotland. In the photos, the soldiers use radios and telephones to communicate with one another. The Polish soldiers are also working with American volunteers during contact drills.","Numbers on the back: 5, 5663, 18-14, 120 m, 3 5/8 x 4 5/8, 825, 16571-2;Numbers on the front: 3 5/8 x 4 5/8;No. 148, No. 473, No. 725, No. 147;Censorship No. 156579, Censorship No. 207300, Censorship No. 202928, Censorship No. 202927;AZ",still image,photographs,black-and-white photographs,12x17 cm; 17x12 cm; 13x17 cm; 17x13 cm; 21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2492-001.tif;701-151-005-2492-002.tif;701-151-005-2492-003.tif,701-151-005-2492-001,Parade of the Podhale Brigade in France,,,Author,World War (1939-1945);Soldiers;Firearms;Bayonets;Military uniforms;Cloaks;Parades,,Poland. Polskie Siły Zbrojne. Samodzielna Brygada Strzelców Podhalańskich;Poland. Polskie Siły Zbrojne,,1939/1945,,1940,,,The photos show the Polish Highland Brigade marching in France. The soldiers are seen walking with bayonets and rifles. They are all wearing long capes.,"Numbers on the back: 23, III, 120, E-6-6, I36., 15816-",still image,photographs,black-and-white photographs,7x9 cm; 12x20 cm; 13x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2535-001.tif;701-151-005-2535-002.tif;701-151-005-2535-003.tif;701-151-005-2535-004.tif,701-151-005-2535-001,Raczkiewicz in the 1st Armored Division,,,Author,"World War (1939-1945);Soldiers;Military ceremonies, honors, and salutes;Banners;Generals;Tanks (Military science);Military uniforms;Sherman tank;Crusader (Tank)","Raczkiewicz, Władysław;Maczek, Stanisław;Kukiel, Marian","Poland. Polskie Siły Zbrojne. Dywizja Pancerna, 1",,1939/1945,,1943,"Wojskowa Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service",,President Raczkiewicz visits the Polish 1st Armoured Division. Photos 001 and 002 show Raczkiewicz addressing the Polish soldiers during a meal. President Raczkiewicz watches tank maintenance and talks to soldiers on tanks in photos 003 and 004.,"Numbers on the back: N-2265, N-2266, N2826, N2825",still image,photographs,black-and-white photographs,9x12 cm; 9x12 cm; 9x12 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2518-001.tif,701-151-005-2518-001,Paratroopers Resting,,,Author,World War (1939-1945);Tents;Rest;Trees;Parachute troops,,Poland. Polskie Siły Zbrojne,,1939/1945,,,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,The photo shows Polish paratroopers resting. They are sitting on the ground in front of a tent talking to one another.,Numbers on the back: 3,still image,photographs,black-and-white photographs,10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2755-008.tif;701-151-005-2755-009.tif;701-151-005-2755-011.tif;701-151-005-2755-012.tif,701-151-005-2755-008,Military Hospital in Scotland (1),,,Author,World War (1939-1945);Nurses;Physician and patient;Soldiers;War wounds--Treatment;Soldiers--Wounds and injuries;Ethnic costume;Physicians;Medical instruments and apparatus,,,Scotland,1939/1945,,,"Keystone, Press Agency LTD., Republic of Poland, Ministry of Information, Photo Service, Swiatpol, Polish Press Agency",,Photo 008 shows a physician measuring a soldier's heartbeat with a stethoscope while a nurse looks on. This seems to be the recovery room for wounded soldiers. Photos 009 and 011 show nurses taking care of recovering soldiers. Photo 012 depicts the soldiers socializing with one another and with people dressed in the regional Polish costumes.,"Numbers on the back: 5, 476307, 880/14-4, 4 1/2 x 3 1/4, 72 ; Censorship No. 196268, Censorship No. 196268, Censorship No. 196269 ; No. 646, No. 645 ; 1942 rok",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 17x22 cm; 9x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2533-016.tif;701-151-005-2533-017.tif,701-151-005-2533-016,Maneuvers of Polish troops in England (1),,,Author,World War (1939-1945);Soldiers;Firearms;Armed Forces--Gunners;Military maneuvers;Military uniforms;Artillery;Artillery drill and tactics,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Keystone, Press Agency LTD.",,Photo 016 shows a 25-pounder going into action. The field gun was fired by Polish gunners during invasion rehearsals at a vast gunner's training ground somewhere in Britain. Photo 017 shows Polish gunners standing at ready behind a medium gun before firing during the final invasion maneuvers.,"Numbers on the back: 2126-27, 2126-28, 5, 0-4, 5, VII;I Corps",still image,photographs,black-and-white photographs,17x22 cm; 17x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2952-001.tif;701-151-005-2952-002.tif;701-151-005-2952-015.tif,701-151-005-2952-001,"""Skalski's Circus"" - North Africa (1- group photos)",,,Author,World War (1939-1945);Military uniforms;Tanks (Military science);Figher pilots,"Machowiak, Marcin;Arct, Bohdan;Król, Wacław;Skalski, Stanisław;Sporny, Kazimierz;Popek, Mieczysław;Rolski, Tadeusz;Pniak, Karol",Poland. Polskie Siły Powietrzne,"Africa, North",1939/1945,,1943,,,"Photo 001 shows some of the men who were part of Skalski's Circus. From left to right: Król, Arct, Machowiak. Photo 002 is a group photo of the ""Flying Boys"" from ""Skalski's Circus."" From left to right: unknown, Rolski, Popek, Pniak, Kowalski. Photo 015 depicts Polish tank-busters at the carcass of one of their victims. From right ot left: Machowiak, Arct, Król, Skalski, Sporny.","No. 50010, No. 50008, No. 50004",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2711-001.tif,701-151-005-2711-001,Two Polish Infantrymen in Great Britain,,,Author,World War (1939-1945);Soldiers;Firearms;Pointing (Gesture);Military uniforms;Infantry,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,"The photo shows two soldiers in a field. One of the soldiers is pointing at something in the distance, and the other soldiers looks in that direction.",,still image,photographs,black-and-white photographs,13x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
